ms,clock,threadId,clockAtArrival,sequenceNo,source,StockID,exchange,time,cum_volume,cum_amount,close,__origTickSeq,bid1p,bid2p,bid3p,bid4p,bid5p,bid1q,bid2q,bid3q,bid4q,bid5q,ask1p,ask2p,ask3p,ask4p,ask5p,ask1q,ask2q,ask3q,ask4q,ask5q,openPrice,numTrades
08:24:47.847788,1587601487848668,23994,1587601487845550,759,24,2290,SZ,08:24:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:24:47.847788,1587601487848835,23994,1587601487845574,782,24,2385,SZ,08:24:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:25:47.846788,1587601547848088,23994,1587601547846078,2924,24,2290,SZ,08:25:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:25:47.848788,1587601547849266,23994,1587601547846635,3091,24,2385,SZ,08:25:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:26:47.848788,1587601607849554,23994,1587601607846765,5090,24,2290,SZ,08:26:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:26:47.850788,1587601607851066,23994,1587601607847387,5305,24,2385,SZ,08:26:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:27:47.850787,1587601667850946,23994,1587601667847714,7420,24,2290,SZ,08:27:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:27:47.850787,1587601667851102,23994,1587601667847727,7443,24,2385,SZ,08:27:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:28:47.849787,1587601727850911,23994,1587601727848168,9512,24,2290,SZ,08:28:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:28:47.851787,1587601727852077,23994,1587601727848656,9679,24,2385,SZ,08:28:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:29:47.850787,1587601787851490,23994,1587601787849109,11786,24,2290,SZ,08:29:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:29:47.850787,1587601787851654,23994,1587601787849120,11809,24,2385,SZ,08:29:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:30:47.851787,1587601847852642,23994,1587601847850470,13938,24,2290,SZ,08:30:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:30:47.851787,1587601847853138,23994,1587601847850737,14009,24,2385,SZ,08:30:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:31:47.851786,1587601907852353,23994,1587601907850165,16088,24,2290,SZ,08:31:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:31:47.852786,1587601907853530,23994,1587601907850681,16255,24,2385,SZ,08:31:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:32:47.854786,1587601967855218,23994,1587601967852007,18394,24,2290,SZ,08:32:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:32:47.854786,1587601967855380,23994,1587601967852021,18417,24,2385,SZ,08:32:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:33:47.852786,1587602027853930,23994,1587602027851469,20447,24,2290,SZ,08:33:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:33:47.862786,1587602027863285,23994,1587602027863084,20647,24,2385,SZ,08:33:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:34:47.853785,1587602087854905,23994,1587602087852455,22749,24,2290,SZ,08:34:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:34:47.853785,1587602087855070,23994,1587602087852468,22772,24,2385,SZ,08:34:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:35:47.853785,1587602147854742,23994,1587602147852668,24830,24,2290,SZ,08:35:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:35:47.854785,1587602147855882,23994,1587602147853190,24992,24,2385,SZ,08:35:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:36:47.853785,1587602207854925,23994,1587602207853337,26967,24,2290,SZ,08:36:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:36:47.854785,1587602207856102,23994,1587602207853848,27134,24,2385,SZ,08:36:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:37:47.855785,1587602267856782,23994,1587602267854202,29203,24,2290,SZ,08:37:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:37:47.856785,1587602267857725,23994,1587602267854667,29338,24,2385,SZ,08:37:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:38:47.856784,1587602327857403,23994,1587602327855248,31475,24,2290,SZ,08:38:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:38:47.856784,1587602327857560,23994,1587602327855258,31498,24,2385,SZ,08:38:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:39:47.858784,1587602387859262,23994,1587602387856210,33730,24,2290,SZ,08:39:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:39:47.858784,1587602387860092,23994,1587602387856995,33849,24,2385,SZ,08:39:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:40:47.859784,1587602447860198,23994,1587602447856846,35976,24,2290,SZ,08:40:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:40:47.859784,1587602447860689,23994,1587602447857402,36047,24,2385,SZ,08:40:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:41:47.859784,1587602507860210,23994,1587602507857175,38007,24,2290,SZ,08:41:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:41:47.860784,1587602507861428,23994,1587602507857758,38174,24,2385,SZ,08:41:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:42:47.859783,1587602567860578,23994,1587602567857979,40249,24,2290,SZ,08:42:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:42:47.859783,1587602567860736,23994,1587602567857995,40272,24,2385,SZ,08:42:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:43:47.860783,1587602627861360,23994,1587602627858759,42434,24,2290,SZ,08:43:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:43:47.860783,1587602627861522,23994,1587602627858776,42457,24,2385,SZ,08:43:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:44:47.861783,1587602687863008,23994,1587602687859595,44746,24,2290,SZ,08:44:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:44:47.862783,1587602687863178,23994,1587602687859610,44769,24,2385,SZ,08:44:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:45:47.862782,1587602747863221,23994,1587602747860166,46875,24,2290,SZ,08:45:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:45:47.862782,1587602747863378,23994,1587602747860185,46898,24,2385,SZ,08:45:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:46:47.861782,1587602807862706,23994,1587602807860682,48905,24,2290,SZ,08:46:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:46:47.862782,1587602807863704,23994,1587602807861152,49030,24,2385,SZ,08:46:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
08:47:47.863782,1587602867863955,23994,1587602867861417,51176,24,2290,SZ,08:47:03.000,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
